ags5,PCA_Cluster,Kmodes_cluster,tsne_cluster,ags2,ags5_fix,fake
06532,0,2,1,6,06532,2
06533,0,2,1,6,06533,2
06534,0,0,1,6,06534,2
06535,0,1,0,6,06535,2
06611,2,2,2,6,06611,1
06631,0,0,1,6,06631,2
06632,0,0,0,6,06632,2
06633,0,2,1,6,06633,2
06634,0,0,0,6,06634,2
06635,0,1,0,6,06635,2
06636,0,1,0,6,06636,2
07111,0,0,2,7,07111,2
07131,0,0,0,7,07131,2
07132,0,2,0,7,07132,2
07133,0,0,0,7,07133,2
07134,0,1,0,7,07134,2
07135,0,1,0,7,07135,2
07137,0,2,1,7,07137,2
07138,0,2,1,7,07138,2
07140,0,0,0,7,07140,2
07141,0,2,0,7,07141,2
07143,0,2,1,7,07143,2
07211,0,2,2,7,07211,2
07231,0,0,0,7,07231,2
07232,0,0,0,7,07232,2
07233,0,1,0,7,07233,2
07235,0,0,0,7,07235,2
07311,0,2,2,7,07311,2
07312,0,2,2,7,07312,2
07313,0,2,2,7,07313,2
07314,2,2,2,7,07314,1
07315,2,2,2,7,07315,1
07316,0,2,2,7,07316,2
07317,0,2,2,7,07317,2
07318,0,2,2,7,07318,2
07319,0,2,2,7,07319,2
07320,0,2,0,7,07320,2
07331,0,2,1,7,07331,2
07332,0,2,0,7,07332,2
07333,0,0,0,7,07333,2
07334,0,2,1,7,07334,2
07335,0,2,0,7,07335,2
07336,0,0,0,7,07336,2
07337,0,2,0,7,07337,2
07338,0,2,1,7,07338,2
07339,0,2,1,7,07339,2
07340,0,0,0,7,07340,2
08111,2,2,1,8,08111,1
08115,2,2,1,8,08115,1
08116,2,2,1,8,08116,1
08117,0,2,1,8,08117,2
08118,2,2,1,8,08118,1
08119,2,2,1,8,08119,1
08121,0,2,2,8,08121,2
08125,0,2,1,8,08125,2
08126,0,0,0,8,08126,2
08127,0,0,0,8,08127,2
08128,0,0,0,8,08128,2
08135,0,2,1,8,08135,2
08136,0,2,1,8,08136,2
08211,0,2,1,8,08211,2
08212,2,2,2,8,08212,1
08215,2,2,1,8,08215,1
08216,0,2,1,8,08216,2
08221,2,2,2,8,08221,1
08222,2,2,2,8,08222,1
08225,0,0,0,8,08225,2
08226,2,2,1,8,08226,1
08231,0,2,1,8,08231,2
08235,0,2,1,8,08235,2
08236,0,2,1,8,08236,2
08237,0,0,0,8,08237,2
08311,2,2,2,8,08311,1
08315,0,2,1,8,08315,2
08316,0,2,1,8,08316,2
08317,2,2,1,8,08317,1
08325,0,2,1,8,08325,2
08326,0,2,1,8,08326,2
08327,0,2,1,8,08327,2
08335,0,2,1,8,08335,2
08336,0,2,1,8,08336,2
08337,0,0,1,8,08337,2
08415,0,2,1,8,08415,2
08416,0,2,1,8,08416,2
08417,0,2,1,8,08417,2
08421,0,2,2,8,08421,2
08425,0,0,1,8,08425,2
08426,0,0,1,8,08426,2
08435,0,2,1,8,08435,2
08436,0,2,1,8,08436,2
08437,0,0,0,8,08437,2
09161,0,0,2,9,09161,2
09162,2,2,1,9,09162,1
09163,2,2,1,9,09163,1
09171,0,0,0,9,09171,2
09172,0,0,0,9,09172,2
09173,0,0,0,9,09173,2
09174,0,2,1,9,09174,2
09175,0,2,1,9,09175,2
09176,0,0,0,9,09176,2
09177,0,0,0,9,09177,2
09178,0,2,1,9,09178,2
09179,0,2,1,9,09179,2
09180,0,0,0,9,09180,2
09181,0,0,0,9,09181,2
09182,0,0,0,9,09182,2
09183,0,0,0,9,09183,2
09184,2,2,1,9,09184,1
09185,0,0,0,9,09185,2
09186,0,0,0,9,09186,2
09187,0,0,1,9,09187,2
09188,0,2,1,9,09188,2
09189,0,0,0,9,09189,2
09190,0,0,1,9,09190,2
09261,0,0,2,9,09261,2
09262,0,0,2,9,09262,2
09263,0,0,2,9,09263,2
09271,0,0,0,9,09271,2
09272,0,1,0,9,09272,2
09273,0,0,0,9,09273,2
09274,0,0,0,9,09274,2
09275,0,0,0,9,09275,2
09276,0,0,0,9,09276,2
09277,0,0,0,9,09277,2
09278,0,0,0,9,09278,2
09279,0,0,0,9,09279,2
09361,0,1,2,9,09361,2
09362,2,2,2,9,09362,1
09363,0,1,2,9,09363,2
09371,0,1,0,9,09371,2
09372,0,1,0,9,09372,2
09373,0,0,0,9,09373,2
09374,0,1,0,9,09374,2
09375,0,0,0,9,09375,2
09376,0,0,0,9,09376,2
09377,0,1,0,9,09377,2
09461,0,0,2,9,09461,2
09462,0,0,2,9,09462,2
09463,0,0,2,9,09463,2
09464,0,0,2,9,09464,2
09471,0,0,0,9,09471,2
09472,0,0,0,9,09472,2
09473,0,0,0,9,09473,2
09474,0,0,0,9,09474,2
09475,0,0,0,9,09475,2
09476,0,0,0,9,09476,2
09477,0,1,0,9,09477,2
09478,0,0,0,9,09478,2
09479,0,1,0,9,09479,2
09561,0,0,2,9,09561,2
09562,0,2,2,9,09562,2
09563,0,2,2,9,09563,2
09564,2,2,2,9,09564,1
09565,0,2,2,9,09565,2
09571,0,0,0,9,09571,2
09572,0,2,1,9,09572,2
09573,0,2,1,9,09573,2
09574,0,2,1,9,09574,2
09575,0,1,0,9,09575,2
09576,0,0,0,9,09576,2
09577,0,0,0,9,09577,2
09661,0,2,2,9,09661,2
09662,0,0,2,9,09662,2
09663,0,2,2,9,09663,2
09671,0,2,1,9,09671,2
09672,0,1,0,9,09672,2
09673,0,0,0,9,09673,2
09674,0,1,0,9,09674,2
09675,0,0,0,9,09675,2
09676,0,0,1,9,09676,2
09677,0,0,0,9,09677,2
09678,0,0,0,9,09678,2
09679,0,2,1,9,09679,2
09761,2,2,2,9,09761,1
09762,0,1,2,9,09762,2
09763,0,0,2,9,09763,2
09764,0,0,2,9,09764,2
09771,0,0,0,9,09771,2
09772,0,2,1,9,09772,2
09773,0,0,0,9,09773,2
09774,0,0,0,9,09774,2
09775,0,2,1,9,09775,2
09776,0,2,2,9,09776,2
09777,0,0,0,9,09777,2
09778,0,0,0,9,09778,2
09779,0,0,0,9,09779,2
09780,0,1,0,9,09780,2
10041,2,2,1,10,10041,1
10042,0,2,0,10,10042,2
10043,0,2,0,10,10043,2
10044,0,2,0,10,10044,2
10045,0,2,0,10,10045,2
10046,0,2,0,10,10046,2
11000,1,2,1,11,11000,1
12051,0,0,2,12,12051,2
12052,0,0,0,12,12052,2
12053,0,1,2,12,12053,2
12054,0,1,2,12,12054,2
12060,0,1,0,12,12060,2
12061,0,1,0,12,12061,2
12062,0,1,0,12,12062,2
12063,0,1,0,12,12063,2
12064,0,1,0,12,12064,2
12065,0,1,0,12,12065,2
12066,0,1,0,12,12066,2
12067,0,1,0,12,12067,2
12068,0,1,0,12,12068,2
12069,0,1,0,12,12069,2
12070,0,1,0,12,12070,2
12071,0,1,0,12,12071,2
12072,0,1,0,12,12072,2
12073,0,1,0,12,12073,2
13003,0,2,0,13,13003,2
13004,0,1,2,13,13004,2
13071,0,1,0,13,13071,2
13072,0,1,0,13,13072,2
13073,0,1,0,13,13073,2
13074,0,0,0,13,13074,2
13075,0,1,0,13,13075,2
13076,0,1,0,13,13076,2
14511,0,2,0,14,14511,2
14521,0,1,0,14,14521,2
14522,0,1,0,14,14522,2
14523,0,1,0,14,14523,2
14524,0,1,0,14,14524,2
14612,2,2,2,14,14612,1
14625,0,1,0,14,14625,2
14626,0,1,0,14,14626,2
14627,0,1,0,14,14627,2
14628,0,1,0,14,14628,2
14713,2,2,2,14,14713,1
14729,0,2,0,14,14729,2
14730,0,1,0,14,14730,2
15001,0,1,2,15,15001,2
15002,2,2,2,15,15002,1
15003,2,1,2,15,15003,1
15081,0,1,0,15,15081,2
15082,0,0,0,15,15082,2
15083,0,1,0,15,15083,2
15084,0,0,0,15,15084,2
15085,0,1,0,15,15085,2
15086,0,1,0,15,15086,2
15087,0,1,0,15,15087,2
15088,0,1,0,15,15088,2
15089,0,1,0,15,15089,2
15090,0,1,0,15,15090,2
15091,0,1,0,15,15091,2
16051,2,1,2,16,16051,1
16052,0,1,2,16,16052,2
16053,0,2,2,16,16053,2
16054,0,1,2,16,16054,2
16055,0,2,2,16,16055,2
16056,0,1,2,16,16056,2
16061,0,1,0,16,16061,2
16062,0,1,0,16,16062,2
16063,0,1,0,16,16063,2
16064,0,1,0,16,16064,2
16065,0,1,0,16,16065,2
16066,0,1,0,16,16066,2
16067,0,1,0,16,16067,2
16068,0,1,0,16,16068,2
16069,0,1,0,16,16069,2
16070,0,1,0,16,16070,2
16071,0,2,0,16,16071,2
16072,0,1,0,16,16072,2
16073,0,1,0,16,16073,2
16074,0,1,0,16,16074,2
16075,0,1,0,16,16075,2
16076,0,1,0,16,16076,2
16077,0,0,0,16,16077,2
